[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 1000 lines:
PM2        | 2025-11-02T01:03:33: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:03:33: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:03:33: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:04:06: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:04:06: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:04:06: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:04:36: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:04:36: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:04:36: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:05:12: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:05:12: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:05:12: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:05:37: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:05:37: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:05:37: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:06:01: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:06:01: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:06:01: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:06:51: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:06:51: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:06:51: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:07:10: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:07:10: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:07:10: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:07:30: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:07:30: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:07:30: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T01:09:28: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
PM2        | 2025-11-02T01:09:28: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-02T01:09:28: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-02T17:17:13: PM2 log: App [baileys-api:0] exited with code [137] via signal [SIGINT]
